customer_id,gender,is_female,is_senior_citizen,partner,dependents,partner_dependents,has_phone,phone_service,phone_service_type,has_internet,internet_service,internet_service_type,has_phone_and_internet,service_type,contract_type,contract_type,payment_type,monthly_charges,Avg_monthly_charge,total_charges,Tenure_Mo,Tenure_Days,start_date,churn,has_churned,,
0023-HGHWL,Male,FALSE,1,No,No,0,FALSE,0,No Phone Service,TRUE,1,DSL,FALSE,Internet Only,0,Month-to-Month,Electronic check,25.1,25.1,25.1,1,30,20210710,Yes,TRUE,,
0032-PGELS,Female,TRUE,0,Yes,Yes,3,FALSE,0,No Phone Service,TRUE,1,DSL,FALSE,Internet Only,0,Month-to-Month,Bank transfer (automatic),30.5,30.5,30.5,1,30,20210710,Yes,TRUE,,
0107-WESLM,Male,FALSE,0,No,No,0,TRUE,1,One Line,FALSE,0,No Internet Service,FALSE,Phone Only,0,Month-to-Month,Electronic check,19.85,19.9,19.85,1,30,20210710,Yes,TRUE,,
0107-YHINA,Male,FALSE,0,No,Yes,2,TRUE,2,Two or More Lines,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,99.75,99.8,99.75,1,30,20210710,Yes,TRUE,,
0137-OCGAB,Female,TRUE,0,No,No,0,TRUE,2,Two or More Lines,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,80.2,80.2,80.2,1,30,20210710,Yes,TRUE,,
0151-ONTOV,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,70.9,70.9,70.9,1,30,20210710,Yes,TRUE,,
0231-LXVAP,Male,FALSE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,75.9,75.9,75.9,1,30,20210710,Yes,TRUE,,
0235-KGSLC,Female,TRUE,0,No,No,0,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Credit card (automatic),85.55,85.6,85.55,1,30,20210710,Yes,TRUE,,
0295-PPHDO,Male,FALSE,0,No,No,0,TRUE,2,Two or More Lines,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,95.45,95.5,95.45,1,30,20210710,Yes,TRUE,,
0318-QUUOB,Male,FALSE,0,Yes,No,1,TRUE,1,One Line,TRUE,2,Fiber Optic,TRUE,Phone & Internet,0,Month-to-Month,Electronic check,80.55,80.6,80.55,1,30,20210710,Yes,TRUE,,
0322-YINQP,Male,FALSE,0,No,No,0,TRUE,1,One Line,TRUE,1,DSL,TRUE,Phone & Internet,0,Month-to-Month,Mailed check,48.55,48.6,48.55,1,30,20210710,Yes,TRUE,,
